"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 23 03:32:32 GMT 2023","Sat Dec 23 03:32:32 GMT 2023","209","Transactional","SMS statistics","","","","Get all your SMS activity (unaggregated events)",""
"failed","Sat Dec 23 03:32:37 GMT 2023","Sat Dec 23 03:32:37 GMT 2023","208","Marketing","SMS Campaigns","","","","Send an SMS campaign's report",""
"failed","Sat Dec 23 03:32:36 GMT 2023","Sat Dec 23 03:32:36 GMT 2023","262","Marketing","SMS Campaigns","","","","Update an SMS campaign",""
"passed","Sat Dec 23 03:32:40 GMT 2023","Sat Dec 23 03:32:40 GMT 2023","197","Contact management","Contacts","","","","Get a contact's details",""
"passed","Sat Dec 23 03:32:46 GMT 2023","Sat Dec 23 03:32:46 GMT 2023","191","Accounts and settings","Reseller","Domains","","","Create a domain for a child account",""
"failed","Sat Dec 23 03:32:45 GMT 2023","Sat Dec 23 03:32:45 GMT 2023","194","Accounts and settings","Reseller","Credits","","","Remove Email and/or SMS credits from a specific child account",""
"failed","Sat Dec 23 03:32:30 GMT 2023","Sat Dec 23 03:32:31 GMT 2023","230","Transactional","Inbound Email Parsing","","","","Get the list of all the events for the received emails.",""
"passed","Sat Dec 23 03:32:55 GMT 2023","Sat Dec 23 03:32:55 GMT 2023","210","Sales CRM","Tasks","","","","Get all tasks",""
"failed","Sat Dec 23 03:32:29 GMT 2023","Sat Dec 23 03:32:29 GMT 2023","217","Transactional","Blocked Contacts","","","","Get the list of blocked or unsubscribed transactional contacts",""
"failed","Sat Dec 23 03:32:42 GMT 2023","Sat Dec 23 03:32:42 GMT 2023","197","Contact management","Lists","","","","Create a list",""
"passed","Sat Dec 23 03:32:54 GMT 2023","Sat Dec 23 03:32:54 GMT 2023","188","Sales CRM","Companies","","","","Update a company",""
"failed","Sat Dec 23 03:32:52 GMT 2023","Sat Dec 23 03:32:52 GMT 2023","194","Accounts and settings","Domains","","","","Create a new domain",""
"passed","Sat Dec 23 03:32:57 GMT 2023","Sat Dec 23 03:32:57 GMT 2023","188","Sales CRM","Notes","","","","Delete a note",""
"passed","Sat Dec 23 03:32:56 GMT 2023","Sat Dec 23 03:32:56 GMT 2023","193","Sales CRM","Tasks","","","","Delete a task",""
"passed","Sat Dec 23 03:32:32 GMT 2023","Sat Dec 23 03:32:32 GMT 2023","203","Transactional","WhatsApp Transactional","","","","Get all your WhatsApp activity (unaggregated events) Copy",""
"passed","Sat Dec 23 03:32:46 GMT 2023","Sat Dec 23 03:32:46 GMT 2023","205","Accounts and settings","Reseller","Domains","","","Get all sender domains for a specific child account",""
"passed","Sat Dec 23 03:32:50 GMT 2023","Sat Dec 23 03:32:50 GMT 2023","189","Accounts and settings","Corporate","","","","Delete a sub-account",""
"passed","Sat Dec 23 03:32:43 GMT 2023","Sat Dec 23 03:32:43 GMT 2023","186","Contact management","Lists","","","","Delete a list",""
"failed","Sat Dec 23 03:32:39 GMT 2023","Sat Dec 23 03:32:39 GMT 2023","198","Contact management","Contacts","","","","Update multiple contacts",""
"passed","Sat Dec 23 03:32:54 GMT 2023","Sat Dec 23 03:32:54 GMT 2023","190","Sales CRM","Deals","","","","Link and Unlink a deal with contacts and companies",""
"passed","Sat Dec 23 03:32:30 GMT 2023","Sat Dec 23 03:32:30 GMT 2023","185","Transactional","Logs","","","","Delete an SMTP transactional log",""
"passed","Sat Dec 23 03:32:40 GMT 2023","Sat Dec 23 03:32:40 GMT 2023","213","Contact management","Contacts","","","","Get email campaigns' statistics for a contact",""
"passed","Sat Dec 23 03:32:28 GMT 2023","Sat Dec 23 03:32:28 GMT 2023","207","Transactional","Templates","","","","Send a template to your test list",""
"failed","Sat Dec 23 03:32:39 GMT 2023","Sat Dec 23 03:32:39 GMT 2023","194","Contact management","Contacts","","","","Export contacts",""
"passed","Sat Dec 23 03:32:49 GMT 2023","Sat Dec 23 03:32:49 GMT 2023","187","Accounts and settings","Corporate","","","","Get the details of requested master account",""
"passed","Sat Dec 23 03:32:48 GMT 2023","Sat Dec 23 03:32:48 GMT 2023","187","Accounts and settings","Reseller","Child accounts","","","Creates a reseller child",""
"passed","Sat Dec 23 03:32:47 GMT 2023","Sat Dec 23 03:32:47 GMT 2023","193","Accounts and settings","Reseller","Child accounts","","","Get a child account's details",""
"passed","Sat Dec 23 03:32:41 GMT 2023","Sat Dec 23 03:32:41 GMT 2023","214","Contact management","Folders","","","","Delete a folder (and all its lists)",""
"failed","Sat Dec 23 03:32:31 GMT 2023","Sat Dec 23 03:32:32 GMT 2023","225","Transactional","SMS statistics","","","","Get your SMS activity aggregated per day",""
"passed","Sat Dec 23 03:32:45 GMT 2023","Sat Dec 23 03:32:45 GMT 2023","196","Accounts and settings","Webhooks","","","","Update a webhook",""
"passed","Sat Dec 23 03:32:55 GMT 2023","Sat Dec 23 03:32:55 GMT 2023","193","Sales CRM","Deals","","","","Get a deal",""
"failed","Sat Dec 23 03:32:39 GMT 2023","Sat Dec 23 03:32:39 GMT 2023","200","Contact management","Contacts","","","","Create a contact",""
"passed","Sat Dec 23 03:32:36 GMT 2023","Sat Dec 23 03:32:36 GMT 2023","184","Marketing","SMS Campaigns","","","","Delete an SMS campaign",""
