"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 23 05:38:43 GMT 2023","Sat Dec 23 05:38:43 GMT 2023","129","Sales CRM","Files","","","","Get file details",""
"failed","Sat Dec 23 05:38:26 GMT 2023","Sat Dec 23 05:38:27 GMT 2023","135","Marketing","Email Campaigns","","","","Upload an image to your account's image gallery",""
"passed","Sat Dec 23 05:38:40 GMT 2023","Sat Dec 23 05:38:40 GMT 2023","128","Sales CRM","Companies","","","","Update a company",""
"passed","Sat Dec 23 05:38:36 GMT 2023","Sat Dec 23 05:38:37 GMT 2023","128","Accounts and settings","Corporate","","","","Generate SSO token to access Sendinblue",""
"passed","Sat Dec 23 05:38:42 GMT 2023","Sat Dec 23 05:38:43 GMT 2023","158","Sales CRM","Notes","","","","Get a note",""
"failed","Sat Dec 23 05:38:31 GMT 2023","Sat Dec 23 05:38:31 GMT 2023","127","Contact management","Lists","","","","Create a list",""
"passed","Sat Dec 23 05:38:35 GMT 2023","Sat Dec 23 05:38:35 GMT 2023","123","Accounts and settings","Reseller","Child accounts","","","Delete a single reseller child based on the child identifier supplied",""
"failed","Sat Dec 23 05:38:42 GMT 2023","Sat Dec 23 05:38:42 GMT 2023","131","Sales CRM","Notes","","","","Create a note",""
"passed","Sat Dec 23 05:38:31 GMT 2023","Sat Dec 23 05:38:32 GMT 2023","137","Contact management","Lists","","","","Get contacts in a list",""
"passed","Sat Dec 23 05:38:41 GMT 2023","Sat Dec 23 05:38:41 GMT 2023","307","Sales CRM","Tasks","","","","Get all tasks",""
"failed","Sat Dec 23 05:38:25 GMT 2023","Sat Dec 23 05:38:26 GMT 2023","132","Marketing","Email Campaigns","","","","Send an email campaign to your test list",""
"failed","Sat Dec 23 05:38:21 GMT 2023","Sat Dec 23 05:38:21 GMT 2023","173","Transactional","Templates","","","","Create an email template",""
"passed","Sat Dec 23 05:38:22 GMT 2023","Sat Dec 23 05:38:22 GMT 2023","131","Transactional","Statistics","","","","Get all your transactional email activity (unaggregated events)",""
"failed","Sat Dec 23 05:38:27 GMT 2023","Sat Dec 23 05:38:27 GMT 2023","171","Marketing","SMS Campaigns","","","","Get an SMS campaign",""
"passed","Sat Dec 23 05:38:34 GMT 2023","Sat Dec 23 05:38:34 GMT 2023","124","Accounts and settings","Reseller","Domains","","","Delete the sender domain of the reseller child based on the childIdentifier and domainName passed",""
"passed","Sat Dec 23 05:38:43 GMT 2023","Sat Dec 23 05:38:43 GMT 2023","133","Sales CRM","Files","","","","Upload a file",""
"failed","Sat Dec 23 05:38:23 GMT 2023","Sat Dec 23 05:38:23 GMT 2023","133","Transactional","Logs","","","","Delete hardbounces",""
"passed","Sat Dec 23 05:38:21 GMT 2023","Sat Dec 23 05:38:21 GMT 2023","135","Transactional","Templates","","","","Delete an inactive email template",""
"passed","Sat Dec 23 05:38:30 GMT 2023","Sat Dec 23 05:38:30 GMT 2023","139","Contact management","Contacts","","","","Get email campaigns' statistics for a contact",""
"passed","Sat Dec 23 05:38:40 GMT 2023","Sat Dec 23 05:38:40 GMT 2023","141","Sales CRM","Companies","","","","Delete a company",""
"failed","Sat Dec 23 05:38:27 GMT 2023","Sat Dec 23 05:38:27 GMT 2023","139","Marketing","SMS Campaigns","","","","Update an SMS campaign",""
"passed","Sat Dec 23 05:38:35 GMT 2023","Sat Dec 23 05:38:35 GMT 2023","136","Accounts and settings","Reseller","Child accounts","","","Update info of reseller's child based on the child identifier supplied",""
"passed","Sat Dec 23 05:38:34 GMT 2023","Sat Dec 23 05:38:34 GMT 2023","128","Accounts and settings","Reseller","IP management","","","Dissociate a dedicated IP to the child",""
"passed","Sat Dec 23 05:38:33 GMT 2023","Sat Dec 23 05:38:33 GMT 2023","126","Accounts and settings","Webhooks","","","","Get a webhook details",""
"passed","Sat Dec 23 05:38:43 GMT 2023","Sat Dec 23 05:38:43 GMT 2023","121","Sales CRM","Files","","","","Delete a file",""
"passed","Sat Dec 23 05:38:27 GMT 2023","Sat Dec 23 05:38:27 GMT 2023","133","Marketing","SMS Campaigns","","","","Send your SMS campaign immediately",""
