"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Dec 23 03:45:06 GMT 2023","Sat Dec 23 03:45:06 GMT 2023","143","Accounts and settings","Senders","","","","Create a new sender",""
"passed","Sat Dec 23 03:45:15 GMT 2023","Sat Dec 23 03:45:15 GMT 2023","141","eCommerce","Categories","","","","Create categories in batch",""
"passed","Sat Dec 23 03:45:01 GMT 2023","Sat Dec 23 03:45:01 GMT 2023","172","Contact management","Attributes","","","","List all attributes",""
"passed","Sat Dec 23 03:45:11 GMT 2023","Sat Dec 23 03:45:11 GMT 2023","135","Sales CRM","Tasks","","","","Delete a task",""
"passed","Sat Dec 23 03:45:09 GMT 2023","Sat Dec 23 03:45:09 GMT 2023","140","Sales CRM","Companies","","","","Get pipeline stages",""
"passed","Sat Dec 23 03:45:07 GMT 2023","Sat Dec 23 03:45:07 GMT 2023","126","Accounts and settings","Senders","","","","Delete a sender",""
"passed","Sat Dec 23 03:45:06 GMT 2023","Sat Dec 23 03:45:06 GMT 2023","157","Accounts and settings","Account data","","","","Get your account information, plan and credits details",""
"failed","Sat Dec 23 03:45:01 GMT 2023","Sat Dec 23 03:45:01 GMT 2023","131","Contact management","Attributes","","","","Create contact attribute",""
"passed","Sat Dec 23 03:45:07 GMT 2023","Sat Dec 23 03:45:07 GMT 2023","186","Accounts and settings","Domains","","","","Get the list of all your domains",""
"failed","Sat Dec 23 03:45:14 GMT 2023","Sat Dec 23 03:45:14 GMT 2023","152","eCommerce","Orders","","","","Create orders in batch",""
"passed","Sat Dec 23 03:45:13 GMT 2023","Sat Dec 23 03:45:13 GMT 2023","166","Conversations","Messages","","","","Get a message",""
"passed","Sat Dec 23 03:45:08 GMT 2023","Sat Dec 23 03:45:08 GMT 2023","127","Sales CRM","Companies","","","","Link and Unlink company with contact and deal",""
"failed","Sat Dec 23 03:44:49 GMT 2023","Sat Dec 23 03:44:50 GMT 2023","174","Transactional","Templates","","","","Get the list of email templates",""
"failed","Sat Dec 23 03:44:54 GMT 2023","Sat Dec 23 03:44:54 GMT 2023","133","Marketing","Email Campaigns","","","","Send an email campaign to your test list",""
