"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 23 03:48:33 GMT 2023","Sat Dec 23 03:48:33 GMT 2023","211","Accounts and settings","Reseller","IP management","","","Associate a dedicated IP to the child",""
"failed","Sat Dec 23 03:48:18 GMT 2023","Sat Dec 23 03:48:18 GMT 2023","241","Transactional","Transactional SMS","","","","Send SMS message to a mobile number",""
"passed","Sat Dec 23 03:48:30 GMT 2023","Sat Dec 23 03:48:31 GMT 2023","203","Contact management","Lists","","","","Update a list",""
"failed","Sat Dec 23 03:48:18 GMT 2023","Sat Dec 23 03:48:18 GMT 2023","228","Transactional","Inbound Email Parsing","","","","Fetch all events history for one particular received email.",""
"passed","Sat Dec 23 03:48:40 GMT 2023","Sat Dec 23 03:48:40 GMT 2023","213","Accounts and settings","Domains","","","","Get the list of all your domains",""
"passed","Sat Dec 23 03:48:18 GMT 2023","Sat Dec 23 03:48:18 GMT 2023","218","Transactional","Inbound Email Parsing","","","","Retrieve inbound attachment with download token.",""
"passed","Sat Dec 23 03:48:46 GMT 2023","Sat Dec 23 03:48:46 GMT 2023","202","Sales CRM","Notes","","","","Delete a note",""
"passed","Sat Dec 23 03:48:49 GMT 2023","Sat Dec 23 03:48:49 GMT 2023","220","Conversations","Pushed messages","","","","Get an automated message",""
"failed","Sat Dec 23 03:48:33 GMT 2023","Sat Dec 23 03:48:33 GMT 2023","213","Accounts and settings","Reseller","Credits","","","Add Email and/or SMS credits to a specific child account",""
"passed","Sat Dec 23 03:48:34 GMT 2023","Sat Dec 23 03:48:34 GMT 2023","207","Accounts and settings","Reseller","Domains","","","Update the sender domain of reseller's child based on the childIdentifier and domainName passed",""
"failed","Sat Dec 23 03:48:47 GMT 2023","Sat Dec 23 03:48:48 GMT 2023","213","Conversations","Messages","","","","Send a message as an agent",""
"passed","Sat Dec 23 03:48:43 GMT 2023","Sat Dec 23 03:48:43 GMT 2023","204","Sales CRM","Deals","","","","Link and Unlink a deal with contacts and companies",""
"failed","Sat Dec 23 03:48:26 GMT 2023","Sat Dec 23 03:48:27 GMT 2023","218","Contact management","Contacts","","","","Export contacts",""
"passed","Sat Dec 23 03:48:37 GMT 2023","Sat Dec 23 03:48:37 GMT 2023","203","Accounts and settings","Corporate","","","","Generate SSO token to access Sendinblue",""
"passed","Sat Dec 23 03:48:29 GMT 2023","Sat Dec 23 03:48:29 GMT 2023","212","Contact management","Folders","","","","Get lists in a folder",""
"failed","Sat Dec 23 03:48:31 GMT 2023","Sat Dec 23 03:48:31 GMT 2023","220","Contact management","Attributes","","","","Create contact attribute",""
"failed","Sat Dec 23 03:48:23 GMT 2023","Sat Dec 23 03:48:23 GMT 2023","215","Marketing","SMS Campaigns","","","","Creates an SMS campaign",""
"passed","Sat Dec 23 03:48:14 GMT 2023","Sat Dec 23 03:48:15 GMT 2023","251","Transactional","Templates","","","","Returns the template information",""
"passed","Sat Dec 23 03:48:38 GMT 2023","Sat Dec 23 03:48:39 GMT 2023","222","Accounts and settings","Senders","","","","Get the list of all your senders",""
"failed","Sat Dec 23 03:48:24 GMT 2023","Sat Dec 23 03:48:24 GMT 2023","208","Marketing","SMS Campaigns","","","","Send a test SMS campaign",""
"passed","Sat Dec 23 03:48:38 GMT 2023","Sat Dec 23 03:48:38 GMT 2023","209","Accounts and settings","Corporate","","","","Delete a sub-account",""
"passed","Sat Dec 23 03:48:17 GMT 2023","Sat Dec 23 03:48:18 GMT 2023","206","Transactional","Logs","","","","Delete an SMTP transactional log",""
"passed","Sat Dec 23 03:48:41 GMT 2023","Sat Dec 23 03:48:41 GMT 2023","208","Sales CRM","Companies","","","","Get company attributes",""
"passed","Sat Dec 23 03:48:51 GMT 2023","Sat Dec 23 03:48:51 GMT 2023","205","eCommerce","Products","","","","Get a product's details",""
"failed","Sat Dec 23 03:48:13 GMT 2023","Sat Dec 23 03:48:14 GMT 2023","273","Transactional","Email API","","","","Fetch scheduled emails by batchId or messageId",""
"passed","Sat Dec 23 03:48:47 GMT 2023","Sat Dec 23 03:48:47 GMT 2023","210","Sales CRM","Files","","","","Download a file",""
"passed","Sat Dec 23 03:48:49 GMT 2023","Sat Dec 23 03:48:49 GMT 2023","212","Conversations","Pushed messages","","","","Update an automated message",""
"passed","Sat Dec 23 03:48:38 GMT 2023","Sat Dec 23 03:48:38 GMT 2023","211","Accounts and settings","Corporate","","","","Update sub-account plan",""
"failed","Sat Dec 23 03:48:28 GMT 2023","Sat Dec 23 03:48:29 GMT 2023","208","Contact management","Folders","","","","Update a folder",""
"failed","Sat Dec 23 03:48:19 GMT 2023","Sat Dec 23 03:48:19 GMT 2023","203","Transactional","WhatsApp Transactional","","","","Send a WhatsApp message",""
"failed","Sat Dec 23 03:48:20 GMT 2023","Sat Dec 23 03:48:20 GMT 2023","203","Marketing","Email Campaigns","","","","Delete an email campaign",""
"passed","Sat Dec 23 03:48:27 GMT 2023","Sat Dec 23 03:48:27 GMT 2023","228","Contact management","Contacts","","","","Get a contact's details",""
"passed","Sat Dec 23 03:48:42 GMT 2023","Sat Dec 23 03:48:42 GMT 2023","224","Sales CRM","Companies","","","","Get pipeline stages",""
"passed","Sat Dec 23 03:48:50 GMT 2023","Sat Dec 23 03:48:51 GMT 2023","223","eCommerce","Categories","","","","Get a category details",""
"failed","Sat Dec 23 03:48:18 GMT 2023","Sat Dec 23 03:48:18 GMT 2023","224","Transactional","Inbound Email Parsing","","","","Get the list of all the events for the received emails.",""
"failed","Sat Dec 23 03:48:39 GMT 2023","Sat Dec 23 03:48:39 GMT 2023","211","Accounts and settings","Senders","","","","Create a new sender",""
"failed","Sat Dec 23 03:48:13 GMT 2023","Sat Dec 23 03:48:13 GMT 2023","250","Transactional","Email API","","","","Send a scheduled transactional email",""
"passed","Sat Dec 23 03:48:41 GMT 2023","Sat Dec 23 03:48:41 GMT 2023","205","Sales CRM","Companies","","","","Link and Unlink company with contact and deal",""
"passed","Sat Dec 23 03:48:17 GMT 2023","Sat Dec 23 03:48:17 GMT 2023","222","Transactional","Blocked Domains","","","","Unblock an existing domain from the list of blocked domains",""
"failed","Sat Dec 23 03:48:44 GMT 2023","Sat Dec 23 03:48:44 GMT 2023","214","Sales CRM","Tasks","","","","Create a task",""
"passed","Sat Dec 23 03:48:39 GMT 2023","Sat Dec 23 03:48:40 GMT 2023","214","Accounts and settings","Senders","","","","Get all the dedicated IPs for a sender",""
"passed","Sat Dec 23 03:48:36 GMT 2023","Sat Dec 23 03:48:36 GMT 2023","205","Accounts and settings","Reseller","Child accounts","","","Creates a reseller child",""
"failed","Sat Dec 23 03:48:12 GMT 2023","Sat Dec 23 03:48:13 GMT 2023","401","Transactional","Email API","","","","Send a transactional email",""
"passed","Sat Dec 23 03:48:34 GMT 2023","Sat Dec 23 03:48:35 GMT 2023","211","Accounts and settings","Reseller","Child accounts","","","Get a child account's details",""
"passed","Sat Dec 23 03:48:41 GMT 2023","Sat Dec 23 03:48:42 GMT 2023","225","Sales CRM","Companies","","","","Get a company",""
"passed","Sat Dec 23 03:48:25 GMT 2023","Sat Dec 23 03:48:25 GMT 2023","216","Marketing","WhatsApp Campaigns","","","","Return all your created WhatsApp campaigns",""
"failed","Sat Dec 23 03:48:13 GMT 2023","Sat Dec 23 03:48:13 GMT 2023","258","Transactional","Email API","","","","Get the list of transactional emails on the basis of allowed filters",""
"passed","Sat Dec 23 03:48:37 GMT 2023","Sat Dec 23 03:48:38 GMT 2023","218","Accounts and settings","Corporate","","","","Get sub-account details",""
"passed","Sat Dec 23 03:48:15 GMT 2023","Sat Dec 23 03:48:15 GMT 2023","213","Transactional","Templates","","","","Update an email template",""
"passed","Sat Dec 23 03:48:35 GMT 2023","Sat Dec 23 03:48:35 GMT 2023","208","Accounts and settings","Reseller","Child accounts","","","Update info of reseller's child account status based on the identifier supplied",""
"passed","Sat Dec 23 03:48:35 GMT 2023","Sat Dec 23 03:48:36 GMT 2023","239","Accounts and settings","Reseller","Child accounts","","","Get the status of a reseller's child account creation, whether it is successfully created (exists) or not based on the childIdentifier supplied",""
"failed","Sat Dec 23 03:48:22 GMT 2023","Sat Dec 23 03:48:23 GMT 2023","245","Marketing","SMS Campaigns","","","","Returns the information for all your created SMS campaigns",""
"passed","Sat Dec 23 03:48:40 GMT 2023","Sat Dec 23 03:48:40 GMT 2023","209","Accounts and settings","Domains","","","","Validate domain configuration",""
"failed","Sat Dec 23 03:48:16 GMT 2023","Sat Dec 23 03:48:16 GMT 2023","228","Transactional","Blocked Contacts","","","","Get the list of blocked or unsubscribed transactional contacts",""
"failed","Sat Dec 23 03:48:50 GMT 2023","Sat Dec 23 03:48:50 GMT 2023","216","eCommerce","Orders","","","","Create orders in batch",""
"passed","Sat Dec 23 03:48:25 GMT 2023","Sat Dec 23 03:48:25 GMT 2023","204","Marketing","WhatsApp Campaigns","","","","Delete a WhatsApp campaign",""
"passed","Sat Dec 23 03:48:37 GMT 2023","Sat Dec 23 03:48:37 GMT 2023","209","Accounts and settings","Corporate","","","","Get the list of all the sub-accounts of the master account.",""
"passed","Sat Dec 23 03:48:31 GMT 2023","Sat Dec 23 03:48:32 GMT 2023","198","Contact management","Attributes","","","","Delete an attribute",""
"passed","Sat Dec 23 03:48:16 GMT 2023","Sat Dec 23 03:48:16 GMT 2023","236","Transactional","Blocked Contacts","","","","Unblock or resubscribe a transactional contact",""
"passed","Sat Dec 23 03:48:15 GMT 2023","Sat Dec 23 03:48:15 GMT 2023","222","Transactional","Templates","","","","Send a template to your test list",""
"passed","Sat Dec 23 03:48:39 GMT 2023","Sat Dec 23 03:48:39 GMT 2023","212","Accounts and settings","Senders","","","","Get all the dedicated IPs for your account",""
"passed","Sat Dec 23 03:48:48 GMT 2023","Sat Dec 23 03:48:48 GMT 2023","260","Conversations","Messages","","","","Delete a message sent by an agent",""
"passed","Sat Dec 23 03:48:49 GMT 2023","Sat Dec 23 03:48:49 GMT 2023","202","Conversations","Pushed messages","","","","Delete an automated message",""
"passed","Sat Dec 23 03:48:44 GMT 2023","Sat Dec 23 03:48:44 GMT 2023","214","Sales CRM","Tasks","","","","Get all tasks",""
"passed","Sat Dec 23 03:48:36 GMT 2023","Sat Dec 23 03:48:36 GMT 2023","214","Accounts and settings","Reseller","Child accounts","","","Get the list of all children accounts",""
"passed","Sat Dec 23 03:48:25 GMT 2023","Sat Dec 23 03:48:26 GMT 2023","214","Marketing","WhatsApp Campaigns","","","","Return all your created WhatsApp templates",""
"passed","Sat Dec 23 03:48:24 GMT 2023","Sat Dec 23 03:48:24 GMT 2023","231","Marketing","SMS Campaigns","","","","Send your SMS campaign immediately",""
"failed","Sat Dec 23 03:48:14 GMT 2023","Sat Dec 23 03:48:14 GMT 2023","236","Transactional","Templates","","","","Get the list of email templates",""
"failed","Sat Dec 23 03:48:30 GMT 2023","Sat Dec 23 03:48:30 GMT 2023","212","Contact management","Lists","","","","Delete a contact from a list",""
"failed","Sat Dec 23 03:48:21 GMT 2023","Sat Dec 23 03:48:21 GMT 2023","216","Marketing","Email Campaigns","","","","Update an email campaign status",""
"failed","Sat Dec 23 03:48:22 GMT 2023","Sat Dec 23 03:48:22 GMT 2023","219","Marketing","Email Campaigns","","","","Upload an image to your account's image gallery",""
"passed","Sat Dec 23 03:48:25 GMT 2023","Sat Dec 23 03:48:25 GMT 2023","242","Marketing","WhatsApp Campaigns","","","","Get a WhatsApp campaign",""
"failed","Sat Dec 23 03:48:41 GMT 2023","Sat Dec 23 03:48:41 GMT 2023","209","Sales CRM","Companies","","","","Create a company",""
"passed","Sat Dec 23 03:48:42 GMT 2023","Sat Dec 23 03:48:42 GMT 2023","232","Sales CRM","Companies","","","","Update a company",""
"failed","Sat Dec 23 03:48:32 GMT 2023","Sat Dec 23 03:48:32 GMT 2023","210","Accounts and settings","Webhooks","","","","Create a webhook",""
"passed","Sat Dec 23 03:48:27 GMT 2023","Sat Dec 23 03:48:27 GMT 2023","206","Contact management","Contacts","","","","Delete a contact",""
"failed","Sat Dec 23 03:48:51 GMT 2023","Sat Dec 23 03:48:51 GMT 2023","209","eCommerce","Products","","","","Create/update a product",""
"failed","Sat Dec 23 03:48:20 GMT 2023","Sat Dec 23 03:48:20 GMT 2023","225","Marketing","Email Campaigns","","","","Get an email campaign report",""
"passed","Sat Dec 23 03:48:33 GMT 2023","Sat Dec 23 03:48:34 GMT 2023","247","Accounts and settings","Reseller","IP management","","","Dissociate a dedicated IP to the child",""
"passed","Sat Dec 23 03:48:44 GMT 2023","Sat Dec 23 03:48:44 GMT 2023","199","Sales CRM","Deals","","","","Update a deal",""
"passed","Sat Dec 23 03:48:37 GMT 2023","Sat Dec 23 03:48:37 GMT 2023","209","Accounts and settings","Corporate","","","","Get the details of requested master account",""
