"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 23 05:48:43 GMT 2023","Sat Dec 23 05:48:43 GMT 2023","187","Accounts and settings","Webhooks","","","","Delete a webhook",""
"passed","Sat Dec 23 05:48:51 GMT 2023","Sat Dec 23 05:48:51 GMT 2023","202","Sales CRM","Companies","","","","Get company attributes",""
"passed","Sat Dec 23 05:48:35 GMT 2023","Sat Dec 23 05:48:36 GMT 2023","221","Marketing","WhatsApp Campaigns","","","","Return all your created WhatsApp campaigns",""
"failed","Sat Dec 23 05:48:52 GMT 2023","Sat Dec 23 05:48:52 GMT 2023","196","Sales CRM","Deals","","","","Create a deal",""
"failed","Sat Dec 23 05:48:51 GMT 2023","Sat Dec 23 05:48:51 GMT 2023","192","Sales CRM","Companies","","","","Create a company",""
"failed","Sat Dec 23 05:48:58 GMT 2023","Sat Dec 23 05:48:58 GMT 2023","208","eCommerce","Orders","","","","Create/update an order",""
"failed","Sat Dec 23 05:48:32 GMT 2023","Sat Dec 23 05:48:32 GMT 2023","203","Marketing","Email Campaigns","","","","Send the report of a campaign",""
"passed","Sat Dec 23 05:48:56 GMT 2023","Sat Dec 23 05:48:56 GMT 2023","195","Sales CRM","Files","","","","Download a file",""
"failed","Sat Dec 23 05:48:24 GMT 2023","Sat Dec 23 05:48:24 GMT 2023","239","Transactional","Email API","","","","Get the personalized content of a sent transactional email",""
"failed","Sat Dec 23 05:48:24 GMT 2023","Sat Dec 23 05:48:24 GMT 2023","254","Transactional","Email API","","","","Get the list of transactional emails on the basis of allowed filters",""
"passed","Sat Dec 23 05:48:30 GMT 2023","Sat Dec 23 05:48:30 GMT 2023","199","Transactional","SMS statistics","","","","Get all your SMS activity (unaggregated events)",""
"failed","Sat Dec 23 05:48:31 GMT 2023","Sat Dec 23 05:48:31 GMT 2023","208","Marketing","Email Campaigns","","","","Update an email campaign",""
