"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 23 05:58:45 GMT 2023","Sat Dec 23 05:58:45 GMT 2023","140","Accounts and settings","Domains","","","","Get the list of all your domains",""
"passed","Sat Dec 23 05:58:46 GMT 2023","Sat Dec 23 05:58:46 GMT 2023","123","Sales CRM","Companies","","","","Delete a company",""
"passed","Sat Dec 23 05:58:41 GMT 2023","Sat Dec 23 05:58:41 GMT 2023","147","Accounts and settings","Reseller","Domains","","","Get all sender domains for a specific child account",""
"passed","Sat Dec 23 05:58:52 GMT 2023","Sat Dec 23 05:58:52 GMT 2023","148","eCommerce","Products","","","","Get all products",""
"failed","Sat Dec 23 05:58:43 GMT 2023","Sat Dec 23 05:58:43 GMT 2023","123","Accounts and settings","Corporate","","","","Create a new sub-account under a master account.",""
"passed","Sat Dec 23 05:58:45 GMT 2023","Sat Dec 23 05:58:45 GMT 2023","139","Sales CRM","Companies","","","","Get all Companies",""
"failed","Sat Dec 23 05:58:27 GMT 2023","Sat Dec 23 05:58:27 GMT 2023","177","Transactional","Email API","","","","Get the list of transactional emails on the basis of allowed filters",""
"passed","Sat Dec 23 05:58:50 GMT 2023","Sat Dec 23 05:58:50 GMT 2023","145","Sales CRM","Files","","","","Get file details",""
"passed","Sat Dec 23 05:58:43 GMT 2023","Sat Dec 23 05:58:43 GMT 2023","146","Accounts and settings","Corporate","","","","Get the details of requested master account",""
"passed","Sat Dec 23 05:58:38 GMT 2023","Sat Dec 23 05:58:38 GMT 2023","129","Contact management","Folders","","","","Delete a folder (and all its lists)",""
"failed","Sat Dec 23 05:58:29 GMT 2023","Sat Dec 23 05:58:29 GMT 2023","139","Transactional","Statistics","","","","Get your transactional email activity aggregated over a period of time",""
"passed","Sat Dec 23 05:58:52 GMT 2023","Sat Dec 23 05:58:52 GMT 2023","136","eCommerce","Products","","","","Get a product's details",""
"failed","Sat Dec 23 05:58:27 GMT 2023","Sat Dec 23 05:58:27 GMT 2023","163","Transactional","Email API","","","","Get the personalized content of a sent transactional email",""
"passed","Sat Dec 23 05:58:47 GMT 2023","Sat Dec 23 05:58:47 GMT 2023","133","Sales CRM","Deals","","","","Get deal attributes",""
"failed","Sat Dec 23 05:58:33 GMT 2023","Sat Dec 23 05:58:33 GMT 2023","129","Marketing","Email Campaigns","","","","Send the report of a campaign",""
"passed","Sat Dec 23 05:58:46 GMT 2023","Sat Dec 23 05:58:46 GMT 2023","140","Sales CRM","Companies","","","","Get a company",""
"failed","Sat Dec 23 05:58:30 GMT 2023","Sat Dec 23 05:58:30 GMT 2023","145","Transactional","Blocked Domains","","","","Add a new domain to the list of blocked domains",""
"passed","Sat Dec 23 05:58:42 GMT 2023","Sat Dec 23 05:58:43 GMT 2023","138","Accounts and settings","Process","","","","Return all the processes for your account",""
"passed","Sat Dec 23 05:58:46 GMT 2023","Sat Dec 23 05:58:46 GMT 2023","142","Sales CRM","Companies","","","","Link and Unlink company with contact and deal",""
"failed","Sat Dec 23 05:58:34 GMT 2023","Sat Dec 23 05:58:34 GMT 2023","127","Marketing","Email Campaigns","","","","Upload an image to your account's image gallery",""
"failed","Sat Dec 23 05:58:49 GMT 2023","Sat Dec 23 05:58:49 GMT 2023","131","Sales CRM","Notes","","","","Create a note",""
"passed","Sat Dec 23 05:58:33 GMT 2023","Sat Dec 23 05:58:33 GMT 2023","172","Marketing","Email Campaigns","","","","Get an A/B test email campaign results",""
"passed","Sat Dec 23 05:58:44 GMT 2023","Sat Dec 23 05:58:44 GMT 2023","126","Accounts and settings","Senders","","","","Update a sender",""
"failed","Sat Dec 23 05:58:28 GMT 2023","Sat Dec 23 05:58:28 GMT 2023","332","Transactional","Templates","","","","Get the list of email templates",""
"failed","Sat Dec 23 05:58:36 GMT 2023","Sat Dec 23 05:58:36 GMT 2023","135","Contact management","Contacts","","","","Export contacts",""
"failed","Sat Dec 23 05:58:45 GMT 2023","Sat Dec 23 05:58:45 GMT 2023","128","Accounts and settings","Domains","","","","Create a new domain",""
"passed","Sat Dec 23 05:58:45 GMT 2023","Sat Dec 23 05:58:45 GMT 2023","129","Accounts and settings","Senders","","","","Get all the dedicated IPs for a sender",""
"failed","Sat Dec 23 05:58:35 GMT 2023","Sat Dec 23 05:58:35 GMT 2023","131","Marketing","SMS Campaigns","","","","Send a test SMS campaign",""
"passed","Sat Dec 23 05:58:41 GMT 2023","Sat Dec 23 05:58:41 GMT 2023","126","Accounts and settings","Reseller","Domains","","","Update the sender domain of reseller's child based on the childIdentifier and domainName passed",""
"failed","Sat Dec 23 05:58:36 GMT 2023","Sat Dec 23 05:58:36 GMT 2023","124","Contact management","Contacts","","","","Import contacts",""
"passed","Sat Dec 23 05:58:44 GMT 2023","Sat Dec 23 05:58:45 GMT 2023","122","Accounts and settings","Senders","","","","Delete a sender",""
"passed","Sat Dec 23 05:58:37 GMT 2023","Sat Dec 23 05:58:37 GMT 2023","306","Contact management","Contacts","","","","Get email campaigns' statistics for a contact",""
"passed","Sat Dec 23 05:58:42 GMT 2023","Sat Dec 23 05:58:42 GMT 2023","134","Accounts and settings","Reseller","Child accounts","","","Get the list of all children accounts",""
"passed","Sat Dec 23 05:58:29 GMT 2023","Sat Dec 23 05:58:29 GMT 2023","125","Transactional","Templates","","","","Send a template to your test list",""
"failed","Sat Dec 23 05:58:50 GMT 2023","Sat Dec 23 05:58:50 GMT 2023","136","Conversations","Messages","","","","Send a message as an agent",""
"passed","Sat Dec 23 05:58:33 GMT 2023","Sat Dec 23 05:58:34 GMT 2023","136","Marketing","Email Campaigns","","","","Return all your created email campaigns",""
"passed","Sat Dec 23 05:58:49 GMT 2023","Sat Dec 23 05:58:49 GMT 2023","137","Sales CRM","Notes","","","","Delete a note",""
"passed","Sat Dec 23 05:58:42 GMT 2023","Sat Dec 23 05:58:42 GMT 2023","128","Accounts and settings","Reseller","Child accounts","","","Get the status of a reseller's child account creation, whether it is successfully created (exists) or not based on the childIdentifier supplied",""
"passed","Sat Dec 23 05:58:42 GMT 2023","Sat Dec 23 05:58:42 GMT 2023","126","Accounts and settings","Reseller","Child accounts","","","Creates a reseller child",""
"failed","Sat Dec 23 05:58:32 GMT 2023","Sat Dec 23 05:58:32 GMT 2023","139","Transactional","WhatsApp Transactional","","","","Send a WhatsApp message",""
"passed","Sat Dec 23 05:58:40 GMT 2023","Sat Dec 23 05:58:40 GMT 2023","119","Contact management","Attributes","","","","Delete an attribute",""
"failed","Sat Dec 23 05:58:37 GMT 2023","Sat Dec 23 05:58:37 GMT 2023","132","Contact management","Folders","","","","Create a folder",""
"passed","Sat Dec 23 05:58:49 GMT 2023","Sat Dec 23 05:58:50 GMT 2023","138","Sales CRM","Files","","","","Download a file",""
"failed","Sat Dec 23 05:58:36 GMT 2023","Sat Dec 23 05:58:36 GMT 2023","141","Contact management","Contacts","","","","Create a contact",""
"passed","Sat Dec 23 05:58:48 GMT 2023","Sat Dec 23 05:58:48 GMT 2023","306","Sales CRM","Tasks","","","","Get all task types",""
"failed","Sat Dec 23 05:58:31 GMT 2023","Sat Dec 23 05:58:31 GMT 2023","211","Transactional","SMS statistics","","","","Get your SMS activity aggregated per day",""
"passed","Sat Dec 23 05:58:41 GMT 2023","Sat Dec 23 05:58:41 GMT 2023","121","Accounts and settings","Reseller","IP management","","","Associate a dedicated IP to the child",""
"passed","Sat Dec 23 05:58:40 GMT 2023","Sat Dec 23 05:58:40 GMT 2023","130","Accounts and settings","Webhooks","","","","Get a webhook details",""
"passed","Sat Dec 23 05:58:51 GMT 2023","Sat Dec 23 05:58:51 GMT 2023","139","Conversations","Pushed messages","","","","Get an automated message",""
"failed","Sat Dec 23 05:58:27 GMT 2023","Sat Dec 23 05:58:27 GMT 2023","337","Transactional","Email API","","","","Send a transactional email",""
"passed","Sat Dec 23 05:58:39 GMT 2023","Sat Dec 23 05:58:39 GMT 2023","122","Contact management","Lists","","","","Update a list",""
"failed","Sat Dec 23 05:58:33 GMT 2023","Sat Dec 23 05:58:33 GMT 2023","141","Marketing","Email Campaigns","","","","Export the recipients of an email campaign",""
"failed","Sat Dec 23 05:58:44 GMT 2023","Sat Dec 23 05:58:44 GMT 2023","126","Accounts and settings","Senders","","","","Create a new sender",""
"passed","Sat Dec 23 05:58:49 GMT 2023","Sat Dec 23 05:58:49 GMT 2023","138","Sales CRM","Files","","","","Get all files",""
"passed","Sat Dec 23 05:58:50 GMT 2023","Sat Dec 23 05:58:50 GMT 2023","123","Sales CRM","Files","","","","Delete a file",""
"passed","Sat Dec 23 05:58:32 GMT 2023","Sat Dec 23 05:58:32 GMT 2023","138","Transactional","WhatsApp Transactional","","","","Get all your WhatsApp activity (unaggregated events) Copy",""
"passed","Sat Dec 23 05:58:48 GMT 2023","Sat Dec 23 05:58:48 GMT 2023","212","Sales CRM","Tasks","","","","Get a task",""
"failed","Sat Dec 23 05:58:41 GMT 2023","Sat Dec 23 05:58:41 GMT 2023","131","Accounts and settings","Reseller","Credits","","","Remove Email and/or SMS credits from a specific child account",""
"passed","Sat Dec 23 05:58:43 GMT 2023","Sat Dec 23 05:58:43 GMT 2023","122","Accounts and settings","Corporate","","","","Generate SSO token to access Sendinblue",""
"passed","Sat Dec 23 05:58:40 GMT 2023","Sat Dec 23 05:58:40 GMT 2023","121","Accounts and settings","Webhooks","","","","Delete a webhook",""
"failed","Sat Dec 23 05:58:36 GMT 2023","Sat Dec 23 05:58:36 GMT 2023","137","Contact management","Contacts","","","","Create Contact via DOI (Double-Opt-In) Flow",""
"passed","Sat Dec 23 05:58:31 GMT 2023","Sat Dec 23 05:58:31 GMT 2023","147","Transactional","Inbound Email Parsing","","","","Retrieve inbound attachment with download token.",""
"passed","Sat Dec 23 05:58:41 GMT 2023","Sat Dec 23 05:58:41 GMT 2023","122","Accounts and settings","Reseller","Domains","","","Create a domain for a child account",""
"passed","Sat Dec 23 05:58:52 GMT 2023","Sat Dec 23 05:58:52 GMT 2023","147","eCommerce","Categories","","","","Get a category details",""
"failed","Sat Dec 23 05:58:50 GMT 2023","Sat Dec 23 05:58:50 GMT 2023","127","Conversations","Status","","","","Sets agent’s status to online for 2-3 minutes",""
"failed","Sat Dec 23 05:58:40 GMT 2023","Sat Dec 23 05:58:40 GMT 2023","126","Contact management","Attributes","","","","Create contact attribute",""
"passed","Sat Dec 23 05:58:49 GMT 2023","Sat Dec 23 05:58:49 GMT 2023","131","Sales CRM","Files","","","","Upload a file",""
"passed","Sat Dec 23 05:58:38 GMT 2023","Sat Dec 23 05:58:38 GMT 2023","133","Contact management","Folders","","","","Get lists in a folder",""
"passed","Sat Dec 23 05:58:39 GMT 2023","Sat Dec 23 05:58:39 GMT 2023","119","Contact management","Lists","","","","Delete a list",""
"passed","Sat Dec 23 05:58:45 GMT 2023","Sat Dec 23 05:58:45 GMT 2023","134","Accounts and settings","Domains","","","","Validate domain configuration",""
"passed","Sat Dec 23 05:58:43 GMT 2023","Sat Dec 23 05:58:43 GMT 2023","138","Accounts and settings","Process","","","","Return the informations for a process",""
"passed","Sat Dec 23 05:58:38 GMT 2023","Sat Dec 23 05:58:38 GMT 2023","169","Contact management","Lists","","","","Get contacts in a list",""
"failed","Sat Dec 23 05:58:30 GMT 2023","Sat Dec 23 05:58:31 GMT 2023","158","Transactional","Inbound Email Parsing","","","","Get the list of all the events for the received emails.",""
"failed","Sat Dec 23 05:58:50 GMT 2023","Sat Dec 23 05:58:51 GMT 2023","129","Conversations","Pushed messages","","","","Send an automated message to a visitor",""
"passed","Sat Dec 23 05:58:37 GMT 2023","Sat Dec 23 05:58:37 GMT 2023","122","Contact management","Contacts","","","","Delete a contact",""
"passed","Sat Dec 23 05:58:44 GMT 2023","Sat Dec 23 05:58:44 GMT 2023","138","Accounts and settings","Account data","","","","Get your account information, plan and credits details",""
"failed","Sat Dec 23 05:58:52 GMT 2023","Sat Dec 23 05:58:53 GMT 2023","131","eCommerce","","","","","Activate eCommerce platform on your account",""
"passed","Sat Dec 23 05:58:52 GMT 2023","Sat Dec 23 05:58:52 GMT 2023","128","eCommerce","Products","","","","Create products in batch",""
"passed","Sat Dec 23 05:58:44 GMT 2023","Sat Dec 23 05:58:44 GMT 2023","127","Accounts and settings","Senders","","","","Get all the dedicated IPs for your account",""
"failed","Sat Dec 23 05:58:32 GMT 2023","Sat Dec 23 05:58:33 GMT 2023","133","Marketing","Email Campaigns","","","","Send an email campaign immediately, based on campaignId",""
"failed","Sat Dec 23 05:58:34 GMT 2023","Sat Dec 23 05:58:35 GMT 2023","128","Marketing","SMS Campaigns","","","","Update a campaign's status",""
"passed","Sat Dec 23 05:58:42 GMT 2023","Sat Dec 23 05:58:42 GMT 2023","121","Accounts and settings","Reseller","Child accounts","","","Update info of reseller's child based on the child identifier supplied",""
"failed","Sat Dec 23 05:58:51 GMT 2023","Sat Dec 23 05:58:51 GMT 2023","137","eCommerce","Categories","","","","Get all categories",""
"passed","Sat Dec 23 05:58:39 GMT 2023","Sat Dec 23 05:58:39 GMT 2023","296","Contact management","Attributes","","","","List all attributes",""
"passed","Sat Dec 23 05:58:46 GMT 2023","Sat Dec 23 05:58:46 GMT 2023","125","Sales CRM","Companies","","","","Update a company",""
"failed","Sat Dec 23 05:58:30 GMT 2023","Sat Dec 23 05:58:30 GMT 2023","147","Transactional","Blocked Domains","","","","Get the list of blocked domains",""
"passed","Sat Dec 23 05:58:35 GMT 2023","Sat Dec 23 05:58:35 GMT 2023","137","Marketing","WhatsApp Campaigns","","","","Return all your created WhatsApp campaigns",""
"failed","Sat Dec 23 05:58:32 GMT 2023","Sat Dec 23 05:58:32 GMT 2023","131","Marketing","Email Campaigns","","","","Update an email campaign",""
"failed","Sat Dec 23 05:58:47 GMT 2023","Sat Dec 23 05:58:47 GMT 2023","128","Sales CRM","Deals","","","","Create a deal",""
"passed","Sat Dec 23 05:58:46 GMT 2023","Sat Dec 23 05:58:46 GMT 2023","142","Sales CRM","Companies","","","","Get pipeline stages",""
"passed","Sat Dec 23 05:58:43 GMT 2023","Sat Dec 23 05:58:43 GMT 2023","136","Accounts and settings","Corporate","","","","Get sub-account details",""
"passed","Sat Dec 23 05:58:43 GMT 2023","Sat Dec 23 05:58:44 GMT 2023","125","Accounts and settings","Corporate","","","","Delete a sub-account",""
"failed","Sat Dec 23 05:58:30 GMT 2023","Sat Dec 23 05:58:30 GMT 2023","131","Transactional","Logs","","","","Delete hardbounces",""
"passed","Sat Dec 23 05:58:39 GMT 2023","Sat Dec 23 05:58:40 GMT 2023","130","Contact management","Attributes","","","","Update contact attribute",""
"passed","Sat Dec 23 05:58:47 GMT 2023","Sat Dec 23 05:58:47 GMT 2023","122","Sales CRM","Deals","","","","Update a deal",""
"failed","Sat Dec 23 05:58:51 GMT 2023","Sat Dec 23 05:58:51 GMT 2023","136","eCommerce","Orders","","","","Create orders in batch",""
"passed","Sat Dec 23 05:58:31 GMT 2023","Sat Dec 23 05:58:32 GMT 2023","141","Transactional","SMS statistics","","","","Get all your SMS activity (unaggregated events)",""
"passed","Sat Dec 23 05:58:48 GMT 2023","Sat Dec 23 05:58:49 GMT 2023","142","Sales CRM","Notes","","","","Get all notes",""
"failed","Sat Dec 23 05:58:33 GMT 2023","Sat Dec 23 05:58:33 GMT 2023","128","Marketing","Email Campaigns","","","","Update an email campaign status",""
"passed","Sat Dec 23 05:58:28 GMT 2023","Sat Dec 23 05:58:29 GMT 2023","293","Transactional","Templates","","","","Update an email template",""
"passed","Sat Dec 23 05:58:40 GMT 2023","Sat Dec 23 05:58:40 GMT 2023","139","Accounts and settings","Webhooks","","","","Get all webhooks",""
"passed","Sat Dec 23 05:58:44 GMT 2023","Sat Dec 23 05:58:44 GMT 2023","152","Accounts and settings","Senders","","","","Get the list of all your senders",""
"passed","Sat Dec 23 05:58:42 GMT 2023","Sat Dec 23 05:58:42 GMT 2023","134","Accounts and settings","Reseller","Child accounts","","","Get session token to access Sendinblue (SSO)",""
"passed","Sat Dec 23 05:58:49 GMT 2023","Sat Dec 23 05:58:49 GMT 2023","129","Sales CRM","Notes","","","","Update a note",""
"failed","Sat Dec 23 05:58:34 GMT 2023","Sat Dec 23 05:58:34 GMT 2023","139","Marketing","SMS Campaigns","","","","Update an SMS campaign",""
"passed","Sat Dec 23 05:58:30 GMT 2023","Sat Dec 23 05:58:30 GMT 2023","138","Transactional","Logs","","","","Delete an SMTP transactional log",""
"failed","Sat Dec 23 05:58:31 GMT 2023","Sat Dec 23 05:58:31 GMT 2023","143","Transactional","SMS statistics","","","","Get your SMS activity aggregated over a period of time",""
"failed","Sat Dec 23 05:58:40 GMT 2023","Sat Dec 23 05:58:41 GMT 2023","128","Accounts and settings","Reseller","Credits","","","Add Email and/or SMS credits to a specific child account",""
"passed","Sat Dec 23 05:58:46 GMT 2023","Sat Dec 23 05:58:47 GMT 2023","143","Sales CRM","Deals","","","","Get all deals",""
"failed","Sat Dec 23 05:58:35 GMT 2023","Sat Dec 23 05:58:35 GMT 2023","152","Marketing","SMS Campaigns","","","","Send an SMS campaign's report",""
"failed","Sat Dec 23 05:58:37 GMT 2023","Sat Dec 23 05:58:37 GMT 2023","138","Contact management","Folders","","","","Get all folders",""
"failed","Sat Dec 23 05:58:51 GMT 2023","Sat Dec 23 05:58:51 GMT 2023","148","eCommerce","Orders","","","","Create/update an order",""
"failed","Sat Dec 23 05:58:45 GMT 2023","Sat Dec 23 05:58:46 GMT 2023","138","Sales CRM","Companies","","","","Create a company",""
"passed","Sat Dec 23 05:58:48 GMT 2023","Sat Dec 23 05:58:48 GMT 2023","134","Sales CRM","Tasks","","","","Delete a task",""
"passed","Sat Dec 23 05:58:42 GMT 2023","Sat Dec 23 05:58:42 GMT 2023","125","Accounts and settings","Reseller","Child accounts","","","Delete a single reseller child based on the child identifier supplied",""
"failed","Sat Dec 23 05:58:29 GMT 2023","Sat Dec 23 05:58:30 GMT 2023","172","Transactional","Blocked Contacts","","","","Get the list of blocked or unsubscribed transactional contacts",""
"passed","Sat Dec 23 05:58:39 GMT 2023","Sat Dec 23 05:58:39 GMT 2023","144","Contact management","Lists","","","","Get a list's details",""
"passed","Sat Dec 23 05:58:44 GMT 2023","Sat Dec 23 05:58:44 GMT 2023","128","Accounts and settings","Corporate","","","","Update sub-account plan",""
"passed","Sat Dec 23 05:58:50 GMT 2023","Sat Dec 23 05:58:50 GMT 2023","125","Conversations","Messages","","","","Delete a message sent by an agent",""
"passed","Sat Dec 23 05:58:29 GMT 2023","Sat Dec 23 05:58:29 GMT 2023","151","Transactional","Statistics","","","","Get all your transactional email activity (unaggregated events)",""
"passed","Sat Dec 23 05:58:45 GMT 2023","Sat Dec 23 05:58:45 GMT 2023","122","Accounts and settings","Domains","","","","Authenticate a domain",""
"failed","Sat Dec 23 05:58:47 GMT 2023","Sat Dec 23 05:58:48 GMT 2023","137","Sales CRM","Tasks","","","","Create a task",""
"passed","Sat Dec 23 05:58:38 GMT 2023","Sat Dec 23 05:58:38 GMT 2023","143","Contact management","Lists","","","","Get all the lists",""
"passed","Sat Dec 23 05:58:37 GMT 2023","Sat Dec 23 05:58:37 GMT 2023","121","Contact management","Contacts","","","","Update a contact",""
"failed","Sat Dec 23 05:58:31 GMT 2023","Sat Dec 23 05:58:31 GMT 2023","166","Transactional","Inbound Email Parsing","","","","Fetch all events history for one particular received email.",""
"failed","Sat Dec 23 05:58:32 GMT 2023","Sat Dec 23 05:58:32 GMT 2023","141","Marketing","Email Campaigns","","","","Get an email campaign report",""
"failed","Sat Dec 23 05:58:32 GMT 2023","Sat Dec 23 05:58:32 GMT 2023","142","Marketing","Email Campaigns","","","","Delete an email campaign",""
"passed","Sat Dec 23 05:58:47 GMT 2023","Sat Dec 23 05:58:47 GMT 2023","124","Sales CRM","Deals","","","","Link and Unlink a deal with contacts and companies",""
"passed","Sat Dec 23 05:58:36 GMT 2023","Sat Dec 23 05:58:36 GMT 2023","161","Contact management","Contacts","","","","Get all the contacts",""
"passed","Sat Dec 23 05:58:34 GMT 2023","Sat Dec 23 05:58:34 GMT 2023","121","Marketing","SMS Campaigns","","","","Delete an SMS campaign",""
"failed","Sat Dec 23 05:58:33 GMT 2023","Sat Dec 23 05:58:33 GMT 2023","128","Marketing","Email Campaigns","","","","Send an email campaign to your test list",""
"failed","Sat Dec 23 05:58:34 GMT 2023","Sat Dec 23 05:58:34 GMT 2023","127","Marketing","SMS Campaigns","","","","Creates an SMS campaign",""
"passed","Sat Dec 23 05:58:37 GMT 2023","Sat Dec 23 05:58:38 GMT 2023","151","Contact management","Folders","","","","Returns a folder's details",""
"passed","Sat Dec 23 05:58:45 GMT 2023","Sat Dec 23 05:58:45 GMT 2023","122","Accounts and settings","Domains","","","","Delete a domain",""
"passed","Sat Dec 23 05:58:34 GMT 2023","Sat Dec 23 05:58:34 GMT 2023","122","Marketing","SMS Campaigns","","","","Send your SMS campaign immediately",""
"failed","Sat Dec 23 05:58:38 GMT 2023","Sat Dec 23 05:58:38 GMT 2023","140","Contact management","Lists","","","","Create a list",""
"passed","Sat Dec 23 05:58:48 GMT 2023","Sat Dec 23 05:58:48 GMT 2023","130","Sales CRM","Tasks","","","","Update a task",""
"failed","Sat Dec 23 05:58:36 GMT 2023","Sat Dec 23 05:58:36 GMT 2023","139","Contact management","Contacts","","","","Update multiple contacts",""
"failed","Sat Dec 23 05:58:27 GMT 2023","Sat Dec 23 05:58:27 GMT 2023","156","Transactional","Email API","","","","Send a scheduled transactional email",""
"failed","Sat Dec 23 05:58:28 GMT 2023","Sat Dec 23 05:58:28 GMT 2023","155","Transactional","Templates","","","","Create an email template",""
"failed","Sat Dec 23 05:58:27 GMT 2023","Sat Dec 23 05:58:28 GMT 2023","150","Transactional","Email API","","","","Fetch scheduled emails by batchId or messageId",""
"passed","Sat Dec 23 05:58:41 GMT 2023","Sat Dec 23 05:58:42 GMT 2023","133","Accounts and settings","Reseller","Child accounts","","","Get a child account's details",""
"passed","Sat Dec 23 05:58:49 GMT 2023","Sat Dec 23 05:58:49 GMT 2023","144","Sales CRM","Notes","","","","Get a note",""
"passed","Sat Dec 23 05:58:30 GMT 2023","Sat Dec 23 05:58:30 GMT 2023","120","Transactional","Blocked Contacts","","","","Unblock or resubscribe a transactional contact",""
"passed","Sat Dec 23 05:58:46 GMT 2023","Sat Dec 23 05:58:46 GMT 2023","127","Sales CRM","Companies","","","","Get company attributes",""
"failed","Sat Dec 23 05:58:51 GMT 2023","Sat Dec 23 05:58:52 GMT 2023","135","eCommerce","Categories","","","","Create/update a category",""
"passed","Sat Dec 23 05:58:42 GMT 2023","Sat Dec 23 05:58:42 GMT 2023","122","Accounts and settings","Reseller","Child accounts","","","Update info of reseller's child account status based on the identifier supplied",""
"passed","Sat Dec 23 05:58:30 GMT 2023","Sat Dec 23 05:58:30 GMT 2023","134","Transactional","Blocked Domains","","","","Unblock an existing domain from the list of blocked domains",""
"passed","Sat Dec 23 05:58:29 GMT 2023","Sat Dec 23 05:58:29 GMT 2023","125","Transactional","Templates","","","","Delete an inactive email template",""
"passed","Sat Dec 23 05:58:41 GMT 2023","Sat Dec 23 05:58:41 GMT 2023","119","Accounts and settings","Reseller","Domains","","","Delete the sender domain of the reseller child based on the childIdentifier and domainName passed",""
"failed","Sat Dec 23 05:58:29 GMT 2023","Sat Dec 23 05:58:29 GMT 2023","153","Transactional","Statistics","","","","Get your transactional email activity aggregated per day",""
"failed","Sat Dec 23 05:58:31 GMT 2023","Sat Dec 23 05:58:31 GMT 2023","134","Transactional","Transactional SMS","","","","Send SMS message to a mobile number",""
"failed","Sat Dec 23 05:58:39 GMT 2023","Sat Dec 23 05:58:39 GMT 2023","128","Contact management","Lists","","","","Delete a contact from a list",""
"passed","Sat Dec 23 05:58:43 GMT 2023","Sat Dec 23 05:58:43 GMT 2023","148","Accounts and settings","Corporate","","","","Get the list of all the sub-accounts of the master account.",""
"passed","Sat Dec 23 05:58:28 GMT 2023","Sat Dec 23 05:58:28 GMT 2023","151","Transactional","Templates","","","","Returns the template information",""
"failed","Sat Dec 23 05:58:38 GMT 2023","Sat Dec 23 05:58:38 GMT 2023","125","Contact management","Folders","","","","Update a folder",""
"failed","Sat Dec 23 05:58:38 GMT 2023","Sat Dec 23 05:58:39 GMT 2023","128","Contact management","Lists","","","","Add existing contacts to a list",""
"failed","Sat Dec 23 05:58:34 GMT 2023","Sat Dec 23 05:58:34 GMT 2023","149","Marketing","SMS Campaigns","","","","Returns the information for all your created SMS campaigns",""
"passed","Sat Dec 23 05:58:41 GMT 2023","Sat Dec 23 05:58:41 GMT 2023","124","Accounts and settings","Reseller","IP management","","","Dissociate a dedicated IP to the child",""
"failed","Sat Dec 23 05:58:40 GMT 2023","Sat Dec 23 05:58:40 GMT 2023","125","Accounts and settings","Webhooks","","","","Create a webhook",""
"failed","Sat Dec 23 05:58:28 GMT 2023","Sat Dec 23 05:58:28 GMT 2023","151","Transactional","Email API","","","","Delete scheduled emails by batchId or messageId",""
"passed","Sat Dec 23 05:58:35 GMT 2023","Sat Dec 23 05:58:35 GMT 2023","136","Marketing","WhatsApp Campaigns","","","","Get a WhatsApp campaign",""
"passed","Sat Dec 23 05:58:51 GMT 2023","Sat Dec 23 05:58:51 GMT 2023","122","Conversations","Pushed messages","","","","Update an automated message",""
"passed","Sat Dec 23 05:58:51 GMT 2023","Sat Dec 23 05:58:51 GMT 2023","123","Conversations","Pushed messages","","","","Delete an automated message",""
"passed","Sat Dec 23 05:58:40 GMT 2023","Sat Dec 23 05:58:40 GMT 2023","120","Accounts and settings","Webhooks","","","","Update a webhook",""
"failed","Sat Dec 23 05:58:32 GMT 2023","Sat Dec 23 05:58:32 GMT 2023","153","Marketing","Email Campaigns","","","","Create an email campaign",""
