"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Dec 23 05:23:28 GMT 2023","Sat Dec 23 05:23:29 GMT 2023","167","Contact management","Lists","","","","Add existing contacts to a list",""
"passed","Sat Dec 23 05:23:26 GMT 2023","Sat Dec 23 05:23:27 GMT 2023","148","Contact management","Contacts","","","","Delete a contact",""
"passed","Sat Dec 23 05:23:17 GMT 2023","Sat Dec 23 05:23:18 GMT 2023","156","Transactional","Blocked Domains","","","","Unblock an existing domain from the list of blocked domains",""
"failed","Sat Dec 23 05:23:22 GMT 2023","Sat Dec 23 05:23:23 GMT 2023","155","Marketing","Email Campaigns","","","","Upload an image to your account's image gallery",""
"passed","Sat Dec 23 05:23:25 GMT 2023","Sat Dec 23 05:23:25 GMT 2023","159","Marketing","WhatsApp Campaigns","","","","Return all your created WhatsApp campaigns",""
"failed","Sat Dec 23 05:23:17 GMT 2023","Sat Dec 23 05:23:17 GMT 2023","168","Transactional","Blocked Domains","","","","Get the list of blocked domains",""
"passed","Sat Dec 23 05:23:16 GMT 2023","Sat Dec 23 05:23:16 GMT 2023","192","Transactional","Statistics","","","","Get all your transactional email activity (unaggregated events)",""
"passed","Sat Dec 23 05:23:32 GMT 2023","Sat Dec 23 05:23:32 GMT 2023","137","Accounts and settings","Reseller","Domains","","","Delete the sender domain of the reseller child based on the childIdentifier and domainName passed",""
"passed","Sat Dec 23 05:23:22 GMT 2023","Sat Dec 23 05:23:22 GMT 2023","164","Marketing","Email Campaigns","","","","Return all your created email campaigns",""
"failed","Sat Dec 23 05:23:26 GMT 2023","Sat Dec 23 05:23:26 GMT 2023","154","Contact management","Contacts","","","","Import contacts",""
"passed","Sat Dec 23 05:23:32 GMT 2023","Sat Dec 23 05:23:33 GMT 2023","141","Accounts and settings","Reseller","Child accounts","","","Update info of reseller's child based on the child identifier supplied",""
