"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Dec 23 03:42:37 GMT 2023","Sat Dec 23 03:42:37 GMT 2023","146","Contact management","Folders","","","","Update a folder",""
"failed","Sat Dec 23 03:42:49 GMT 2023","Sat Dec 23 03:42:49 GMT 2023","146","Sales CRM","Notes","","","","Create a note",""
"passed","Sat Dec 23 03:42:51 GMT 2023","Sat Dec 23 03:42:51 GMT 2023","125","Conversations","Messages","","","","Update a message sent by an agent",""
"failed","Sat Dec 23 03:42:52 GMT 2023","Sat Dec 23 03:42:52 GMT 2023","142","eCommerce","Categories","","","","Create/update a category",""
"passed","Sat Dec 23 03:42:47 GMT 2023","Sat Dec 23 03:42:47 GMT 2023","135","Sales CRM","Deals","","","","Get deal attributes",""
"passed","Sat Dec 23 03:42:28 GMT 2023","Sat Dec 23 03:42:29 GMT 2023","125","Transactional","Blocked Contacts","","","","Unblock or resubscribe a transactional contact",""
"passed","Sat Dec 23 03:42:42 GMT 2023","Sat Dec 23 03:42:42 GMT 2023","157","Accounts and settings","Reseller","Child accounts","","","Get the status of a reseller's child account creation, whether it is successfully created (exists) or not based on the childIdentifier supplied",""
"passed","Sat Dec 23 03:42:33 GMT 2023","Sat Dec 23 03:42:33 GMT 2023","306","Marketing","Email Campaigns","","","","Get a shared template url",""
"failed","Sat Dec 23 03:42:51 GMT 2023","Sat Dec 23 03:42:51 GMT 2023","175","Conversations","Status","","","","Sets agent’s status to online for 2-3 minutes",""
"passed","Sat Dec 23 03:42:29 GMT 2023","Sat Dec 23 03:42:29 GMT 2023","130","Transactional","Blocked Domains","","","","Unblock an existing domain from the list of blocked domains",""
"failed","Sat Dec 23 03:42:36 GMT 2023","Sat Dec 23 03:42:36 GMT 2023","135","Contact management","Contacts","","","","Import contacts",""
"passed","Sat Dec 23 03:42:37 GMT 2023","Sat Dec 23 03:42:38 GMT 2023","135","Contact management","Folders","","","","Delete a folder (and all its lists)",""
"failed","Sat Dec 23 03:42:40 GMT 2023","Sat Dec 23 03:42:40 GMT 2023","134","Accounts and settings","Reseller","Credits","","","Remove Email and/or SMS credits from a specific child account",""
"passed","Sat Dec 23 03:42:52 GMT 2023","Sat Dec 23 03:42:53 GMT 2023","143","eCommerce","Categories","","","","Get a category details",""
"passed","Sat Dec 23 03:42:50 GMT 2023","Sat Dec 23 03:42:50 GMT 2023","289","Sales CRM","Files","","","","Download a file",""
"failed","Sat Dec 23 03:42:34 GMT 2023","Sat Dec 23 03:42:34 GMT 2023","132","Marketing","SMS Campaigns","","","","Send a test SMS campaign",""
"failed","Sat Dec 23 03:42:36 GMT 2023","Sat Dec 23 03:42:36 GMT 2023","130","Contact management","Contacts","","","","Update multiple contacts",""
"passed","Sat Dec 23 03:42:53 GMT 2023","Sat Dec 23 03:42:53 GMT 2023","139","eCommerce","Products","","","","Create products in batch",""
"passed","Sat Dec 23 03:42:44 GMT 2023","Sat Dec 23 03:42:44 GMT 2023","138","Accounts and settings","Senders","","","","Get all the dedicated IPs for your account",""
"failed","Sat Dec 23 03:42:31 GMT 2023","Sat Dec 23 03:42:31 GMT 2023","137","Marketing","Email Campaigns","","","","Create an email campaign",""
"passed","Sat Dec 23 03:42:48 GMT 2023","Sat Dec 23 03:42:48 GMT 2023","135","Sales CRM","Deals","","","","Delete a deal",""
"passed","Sat Dec 23 03:42:43 GMT 2023","Sat Dec 23 03:42:43 GMT 2023","134","Accounts and settings","Corporate","","","","Generate SSO token to access Sendinblue",""
"failed","Sat Dec 23 03:42:27 GMT 2023","Sat Dec 23 03:42:27 GMT 2023","150","Transactional","Templates","","","","Create an email template",""
"passed","Sat Dec 23 03:42:40 GMT 2023","Sat Dec 23 03:42:41 GMT 2023","127","Accounts and settings","Reseller","IP management","","","Associate a dedicated IP to the child",""
"passed","Sat Dec 23 03:42:49 GMT 2023","Sat Dec 23 03:42:49 GMT 2023","141","Sales CRM","Notes","","","","Get all notes",""
"failed","Sat Dec 23 03:42:32 GMT 2023","Sat Dec 23 03:42:32 GMT 2023","136","Marketing","Email Campaigns","","","","Update an email campaign status",""
"passed","Sat Dec 23 03:42:30 GMT 2023","Sat Dec 23 03:42:31 GMT 2023","148","Transactional","SMS statistics","","","","Get all your SMS activity (unaggregated events)",""
"passed","Sat Dec 23 03:42:46 GMT 2023","Sat Dec 23 03:42:47 GMT 2023","133","Sales CRM","Companies","","","","Delete a company",""
"failed","Sat Dec 23 03:42:36 GMT 2023","Sat Dec 23 03:42:36 GMT 2023","138","Contact management","Contacts","","","","Export contacts",""
"failed","Sat Dec 23 03:42:52 GMT 2023","Sat Dec 23 03:42:52 GMT 2023","139","eCommerce","Orders","","","","Create/update an order",""
"passed","Sat Dec 23 03:42:45 GMT 2023","Sat Dec 23 03:42:46 GMT 2023","120","Accounts and settings","Domains","","","","Authenticate a domain",""
"passed","Sat Dec 23 03:42:48 GMT 2023","Sat Dec 23 03:42:48 GMT 2023","160","Sales CRM","Tasks","","","","Get a task",""
"passed","Sat Dec 23 03:42:31 GMT 2023","Sat Dec 23 03:42:31 GMT 2023","144","Transactional","WhatsApp Transactional","","","","Get all your WhatsApp activity (unaggregated events) Copy",""
"passed","Sat Dec 23 03:42:28 GMT 2023","Sat Dec 23 03:42:28 GMT 2023","161","Transactional","Templates","","","","Send a template to your test list",""
"failed","Sat Dec 23 03:42:53 GMT 2023","Sat Dec 23 03:42:53 GMT 2023","132","eCommerce","Products","","","","Create/update a product",""
"passed","Sat Dec 23 03:42:41 GMT 2023","Sat Dec 23 03:42:41 GMT 2023","137","Accounts and settings","Reseller","Domains","","","Create a domain for a child account",""
"failed","Sat Dec 23 03:42:40 GMT 2023","Sat Dec 23 03:42:40 GMT 2023","136","Accounts and settings","Webhooks","","","","Create a webhook",""
"failed","Sat Dec 23 03:42:43 GMT 2023","Sat Dec 23 03:42:43 GMT 2023","128","Accounts and settings","Corporate","","","","Create a new sub-account under a master account.",""
"passed","Sat Dec 23 03:42:51 GMT 2023","Sat Dec 23 03:42:52 GMT 2023","126","Conversations","Pushed messages","","","","Update an automated message",""
"failed","Sat Dec 23 03:42:36 GMT 2023","Sat Dec 23 03:42:36 GMT 2023","152","Contact management","Contacts","","","","Create a contact",""
"failed","Sat Dec 23 03:42:51 GMT 2023","Sat Dec 23 03:42:51 GMT 2023","133","Conversations","Pushed messages","","","","Send an automated message to a visitor",""
