"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 20 21:09:22 GMT 2023","Wed Dec 20 21:09:22 GMT 2023","134","Marketing","SMS Campaigns","","","","Delete an SMS campaign",""
"passed","Wed Dec 20 21:09:32 GMT 2023","Wed Dec 20 21:09:33 GMT 2023","159","Accounts and settings","Senders","","","","Get all the dedicated IPs for your account",""
"failed","Wed Dec 20 21:09:41 GMT 2023","Wed Dec 20 21:09:41 GMT 2023","122","eCommerce","","","","","Activate eCommerce platform on your account",""
"failed","Wed Dec 20 21:09:23 GMT 2023","Wed Dec 20 21:09:23 GMT 2023","164","Marketing","SMS Campaigns","","","","Export an SMS campaign's recipients",""
"passed","Wed Dec 20 21:09:23 GMT 2023","Wed Dec 20 21:09:23 GMT 2023","137","Marketing","WhatsApp Campaigns","","","","Return all your created WhatsApp templates",""
"passed","Wed Dec 20 21:09:17 GMT 2023","Wed Dec 20 21:09:18 GMT 2023","207","Transactional","Logs","","","","Delete an SMTP transactional log",""
"passed","Wed Dec 20 21:09:16 GMT 2023","Wed Dec 20 21:09:16 GMT 2023","144","Transactional","Statistics","","","","Get all your transactional email activity (unaggregated events)",""
"passed","Wed Dec 20 21:09:40 GMT 2023","Wed Dec 20 21:09:40 GMT 2023","132","eCommerce","Categories","","","","Create categories in batch",""
"failed","Wed Dec 20 21:09:24 GMT 2023","Wed Dec 20 21:09:24 GMT 2023","152","Contact management","Contacts","","","","Create Contact via DOI (Double-Opt-In) Flow",""
"passed","Wed Dec 20 21:09:37 GMT 2023","Wed Dec 20 21:09:37 GMT 2023","150","Sales CRM","Notes","","","","Get all notes",""
"passed","Wed Dec 20 21:09:30 GMT 2023","Wed Dec 20 21:09:31 GMT 2023","127","Accounts and settings","Reseller","Child accounts","","","Creates a reseller child",""
"passed","Wed Dec 20 21:09:32 GMT 2023","Wed Dec 20 21:09:32 GMT 2023","152","Accounts and settings","Account data","","","","Get your account information, plan and credits details",""
"passed","Wed Dec 20 21:09:22 GMT 2023","Wed Dec 20 21:09:22 GMT 2023","143","Marketing","SMS Campaigns","","","","Send your SMS campaign immediately",""
"failed","Wed Dec 20 21:09:15 GMT 2023","Wed Dec 20 21:09:15 GMT 2023","140","Transactional","Email API","","","","Delete scheduled emails by batchId or messageId",""
"failed","Wed Dec 20 21:09:27 GMT 2023","Wed Dec 20 21:09:27 GMT 2023","145","Contact management","Attributes","","","","Create contact attribute",""
"passed","Wed Dec 20 21:09:21 GMT 2023","Wed Dec 20 21:09:21 GMT 2023","162","Marketing","Email Campaigns","","","","Return all your created email campaigns",""
"passed","Wed Dec 20 21:09:38 GMT 2023","Wed Dec 20 21:09:39 GMT 2023","151","Conversations","Messages","","","","Get a message",""
"passed","Wed Dec 20 21:09:32 GMT 2023","Wed Dec 20 21:09:32 GMT 2023","154","Accounts and settings","Corporate","","","","Update sub-account plan",""
"passed","Wed Dec 20 21:09:40 GMT 2023","Wed Dec 20 21:09:40 GMT 2023","176","eCommerce","Categories","","","","Get a category details",""
"failed","Wed Dec 20 21:09:22 GMT 2023","Wed Dec 20 21:09:22 GMT 2023","153","Marketing","SMS Campaigns","","","","Get an SMS campaign",""
"failed","Wed Dec 20 21:09:18 GMT 2023","Wed Dec 20 21:09:18 GMT 2023","154","Transactional","Inbound Email Parsing","","","","Get the list of all the events for the received emails.",""
"passed","Wed Dec 20 21:09:30 GMT 2023","Wed Dec 20 21:09:30 GMT 2023","122","Accounts and settings","Reseller","Child accounts","","","Delete a single reseller child based on the child identifier supplied",""
"passed","Wed Dec 20 21:09:32 GMT 2023","Wed Dec 20 21:09:32 GMT 2023","132","Accounts and settings","Corporate","","","","Delete a sub-account",""
"failed","Wed Dec 20 21:09:23 GMT 2023","Wed Dec 20 21:09:23 GMT 2023","135","Marketing","SMS Campaigns","","","","Send an SMS campaign's report",""
"passed","Wed Dec 20 21:09:39 GMT 2023","Wed Dec 20 21:09:39 GMT 2023","140","Conversations","Pushed messages","","","","Get an automated message",""
"failed","Wed Dec 20 21:09:20 GMT 2023","Wed Dec 20 21:09:20 GMT 2023","137","Marketing","Email Campaigns","","","","Send an email campaign to your test list",""
"failed","Wed Dec 20 21:09:22 GMT 2023","Wed Dec 20 21:09:22 GMT 2023","140","Marketing","SMS Campaigns","","","","Creates an SMS campaign",""
"passed","Wed Dec 20 21:09:31 GMT 2023","Wed Dec 20 21:09:32 GMT 2023","131","Accounts and settings","Corporate","","","","Generate SSO token to access Sendinblue",""
"passed","Wed Dec 20 21:09:36 GMT 2023","Wed Dec 20 21:09:36 GMT 2023","136","Sales CRM","Deals","","","","Get a deal",""
"passed","Wed Dec 20 21:09:39 GMT 2023","Wed Dec 20 21:09:40 GMT 2023","121","Conversations","Pushed messages","","","","Delete an automated message",""
"passed","Wed Dec 20 21:09:31 GMT 2023","Wed Dec 20 21:09:31 GMT 2023","147","Accounts and settings","Corporate","","","","Get the list of all the sub-accounts of the master account.",""
"passed","Wed Dec 20 21:09:16 GMT 2023","Wed Dec 20 21:09:16 GMT 2023","148","Transactional","Templates","","","","Send a template to your test list",""
"passed","Wed Dec 20 21:09:17 GMT 2023","Wed Dec 20 21:09:17 GMT 2023","142","Transactional","Blocked Domains","","","","Unblock an existing domain from the list of blocked domains",""
"passed","Wed Dec 20 21:09:29 GMT 2023","Wed Dec 20 21:09:29 GMT 2023","152","Accounts and settings","Reseller","Domains","","","Update the sender domain of reseller's child based on the childIdentifier and domainName passed",""
"failed","Wed Dec 20 21:09:26 GMT 2023","Wed Dec 20 21:09:26 GMT 2023","144","Contact management","Lists","","","","Add existing contacts to a list",""
"passed","Wed Dec 20 21:09:39 GMT 2023","Wed Dec 20 21:09:39 GMT 2023","123","Conversations","Messages","","","","Delete a message sent by an agent",""
"failed","Wed Dec 20 21:09:28 GMT 2023","Wed Dec 20 21:09:28 GMT 2023","131","Accounts and settings","Reseller","Credits","","","Remove Email and/or SMS credits from a specific child account",""
"failed","Wed Dec 20 21:09:13 GMT 2023","Wed Dec 20 21:09:14 GMT 2023","287","Transactional","Email API","","","","Send a transactional email",""
"failed","Wed Dec 20 21:09:33 GMT 2023","Wed Dec 20 21:09:33 GMT 2023","135","Accounts and settings","Domains","","","","Create a new domain",""
"passed","Wed Dec 20 21:09:25 GMT 2023","Wed Dec 20 21:09:25 GMT 2023","129","Contact management","Contacts","","","","Update a contact",""
"passed","Wed Dec 20 21:09:26 GMT 2023","Wed Dec 20 21:09:26 GMT 2023","147","Contact management","Lists","","","","Get all the lists",""
"failed","Wed Dec 20 21:09:17 GMT 2023","Wed Dec 20 21:09:17 GMT 2023","137","Transactional","Blocked Domains","","","","Add a new domain to the list of blocked domains",""
"failed","Wed Dec 20 21:09:16 GMT 2023","Wed Dec 20 21:09:16 GMT 2023","173","Transactional","Statistics","","","","Get your transactional email activity aggregated per day",""
"passed","Wed Dec 20 21:09:24 GMT 2023","Wed Dec 20 21:09:24 GMT 2023","146","Contact management","Contacts","","","","Get a contact's details",""
"failed","Wed Dec 20 21:09:20 GMT 2023","Wed Dec 20 21:09:20 GMT 2023","151","Marketing","Email Campaigns","","","","Update an email campaign status",""
"passed","Wed Dec 20 21:09:29 GMT 2023","Wed Dec 20 21:09:29 GMT 2023","251","Accounts and settings","Reseller","IP management","","","Dissociate a dedicated IP to the child",""
"passed","Wed Dec 20 21:09:39 GMT 2023","Wed Dec 20 21:09:39 GMT 2023","127","Conversations","Messages","","","","Update a message sent by an agent",""
"passed","Wed Dec 20 21:09:27 GMT 2023","Wed Dec 20 21:09:27 GMT 2023","124","Contact management","Attributes","","","","Delete an attribute",""
"passed","Wed Dec 20 21:09:31 GMT 2023","Wed Dec 20 21:09:31 GMT 2023","309","Accounts and settings","Process","","","","Return all the processes for your account",""
"failed","Wed Dec 20 21:09:24 GMT 2023","Wed Dec 20 21:09:24 GMT 2023","140","Contact management","Contacts","","","","Update multiple contacts",""
"passed","Wed Dec 20 21:09:21 GMT 2023","Wed Dec 20 21:09:21 GMT 2023","317","Marketing","Email Campaigns","","","","Get a shared template url",""
"failed","Wed Dec 20 21:09:26 GMT 2023","Wed Dec 20 21:09:26 GMT 2023","140","Contact management","Lists","","","","Create a list",""
"failed","Wed Dec 20 21:09:28 GMT 2023","Wed Dec 20 21:09:28 GMT 2023","139","Accounts and settings","Reseller","Credits","","","Add Email and/or SMS credits to a specific child account",""
"failed","Wed Dec 20 21:09:24 GMT 2023","Wed Dec 20 21:09:24 GMT 2023","130","Contact management","Contacts","","","","Create a contact",""
"passed","Wed Dec 20 21:09:31 GMT 2023","Wed Dec 20 21:09:31 GMT 2023","154","Accounts and settings","Corporate","","","","Get the details of requested master account",""
"passed","Wed Dec 20 21:09:27 GMT 2023","Wed Dec 20 21:09:27 GMT 2023","126","Contact management","Lists","","","","Delete a list",""
"passed","Wed Dec 20 21:09:30 GMT 2023","Wed Dec 20 21:09:30 GMT 2023","145","Accounts and settings","Reseller","Child accounts","","","Get the status of a reseller's child account creation, whether it is successfully created (exists) or not based on the childIdentifier supplied",""
"passed","Wed Dec 20 21:09:35 GMT 2023","Wed Dec 20 21:09:35 GMT 2023","145","Sales CRM","Deals","","","","Get all deals",""
"failed","Wed Dec 20 21:09:19 GMT 2023","Wed Dec 20 21:09:19 GMT 2023","157","Marketing","Email Campaigns","","","","Create an email campaign",""
"passed","Wed Dec 20 21:09:25 GMT 2023","Wed Dec 20 21:09:26 GMT 2023","128","Contact management","Folders","","","","Delete a folder (and all its lists)",""
"passed","Wed Dec 20 21:09:19 GMT 2023","Wed Dec 20 21:09:19 GMT 2023","159","Transactional","WhatsApp Transactional","","","","Get all your WhatsApp activity (unaggregated events) Copy",""
"passed","Wed Dec 20 21:09:36 GMT 2023","Wed Dec 20 21:09:36 GMT 2023","155","Sales CRM","Tasks","","","","Get all tasks",""
"passed","Wed Dec 20 21:09:28 GMT 2023","Wed Dec 20 21:09:28 GMT 2023","135","Accounts and settings","Webhooks","","","","Delete a webhook",""
"passed","Wed Dec 20 21:09:38 GMT 2023","Wed Dec 20 21:09:38 GMT 2023","138","Sales CRM","Files","","","","Upload a file",""
"passed","Wed Dec 20 21:09:35 GMT 2023","Wed Dec 20 21:09:35 GMT 2023","131","Sales CRM","Companies","","","","Update a company",""
"passed","Wed Dec 20 21:09:28 GMT 2023","Wed Dec 20 21:09:28 GMT 2023","136","Accounts and settings","Webhooks","","","","Get a webhook details",""
"failed","Wed Dec 20 21:09:15 GMT 2023","Wed Dec 20 21:09:15 GMT 2023","167","Transactional","Email API","","","","Fetch scheduled emails by batchId or messageId",""
"passed","Wed Dec 20 21:09:16 GMT 2023","Wed Dec 20 21:09:16 GMT 2023","147","Transactional","Templates","","","","Delete an inactive email template",""
"passed","Wed Dec 20 21:09:17 GMT 2023","Wed Dec 20 21:09:17 GMT 2023","165","Transactional","Blocked Contacts","","","","Unblock or resubscribe a transactional contact",""
"failed","Wed Dec 20 21:09:40 GMT 2023","Wed Dec 20 21:09:40 GMT 2023","146","eCommerce","Orders","","","","Create/update an order",""
"failed","Wed Dec 20 21:09:20 GMT 2023","Wed Dec 20 21:09:20 GMT 2023","161","Marketing","Email Campaigns","","","","Delete an email campaign",""
"passed","Wed Dec 20 21:09:34 GMT 2023","Wed Dec 20 21:09:34 GMT 2023","141","Accounts and settings","Domains","","","","Authenticate a domain",""
"passed","Wed Dec 20 21:09:36 GMT 2023","Wed Dec 20 21:09:36 GMT 2023","139","Sales CRM","Tasks","","","","Get all task types",""
"failed","Wed Dec 20 21:09:35 GMT 2023","Wed Dec 20 21:09:35 GMT 2023","138","Sales CRM","Deals","","","","Create a deal",""
"passed","Wed Dec 20 21:09:33 GMT 2023","Wed Dec 20 21:09:33 GMT 2023","128","Accounts and settings","Domains","","","","Delete a domain",""
"failed","Wed Dec 20 21:09:40 GMT 2023","Wed Dec 20 21:09:40 GMT 2023","160","eCommerce","Categories","","","","Get all categories",""
"passed","Wed Dec 20 21:09:35 GMT 2023","Wed Dec 20 21:09:36 GMT 2023","149","Sales CRM","Deals","","","","Get deal attributes",""
"failed","Wed Dec 20 21:09:39 GMT 2023","Wed Dec 20 21:09:39 GMT 2023","136","Conversations","Status","","","","Sets agent’s status to online for 2-3 minutes",""
"passed","Wed Dec 20 21:09:38 GMT 2023","Wed Dec 20 21:09:38 GMT 2023","136","Sales CRM","Files","","","","Get all files",""
"passed","Wed Dec 20 21:09:28 GMT 2023","Wed Dec 20 21:09:29 GMT 2023","127","Accounts and settings","Reseller","IP management","","","Associate a dedicated IP to the child",""
"passed","Wed Dec 20 21:09:39 GMT 2023","Wed Dec 20 21:09:39 GMT 2023","128","Conversations","Pushed messages","","","","Update an automated message",""
"failed","Wed Dec 20 21:09:25 GMT 2023","Wed Dec 20 21:09:25 GMT 2023","130","Contact management","Folders","","","","Update a folder",""
"passed","Wed Dec 20 21:09:26 GMT 2023","Wed Dec 20 21:09:26 GMT 2023","139","Contact management","Folders","","","","Get lists in a folder",""
"passed","Wed Dec 20 21:09:19 GMT 2023","Wed Dec 20 21:09:19 GMT 2023","158","Transactional","SMS statistics","","","","Get all your SMS activity (unaggregated events)",""
"failed","Wed Dec 20 21:09:34 GMT 2023","Wed Dec 20 21:09:34 GMT 2023","134","Sales CRM","Companies","","","","Create a company",""
"passed","Wed Dec 20 21:09:38 GMT 2023","Wed Dec 20 21:09:38 GMT 2023","128","Sales CRM","Files","","","","Delete a file",""
"passed","Wed Dec 20 21:09:33 GMT 2023","Wed Dec 20 21:09:33 GMT 2023","182","Accounts and settings","Domains","","","","Get the list of all your domains",""
"passed","Wed Dec 20 21:09:24 GMT 2023","Wed Dec 20 21:09:25 GMT 2023","134","Contact management","Contacts","","","","Delete a contact",""
"failed","Wed Dec 20 21:09:25 GMT 2023","Wed Dec 20 21:09:25 GMT 2023","156","Contact management","Folders","","","","Get all folders",""
"passed","Wed Dec 20 21:09:23 GMT 2023","Wed Dec 20 21:09:24 GMT 2023","197","Contact management","Contacts","","","","Get all the contacts",""
"failed","Wed Dec 20 21:09:18 GMT 2023","Wed Dec 20 21:09:18 GMT 2023","142","Transactional","Transactional SMS","","","","Send SMS message to a mobile number",""
"failed","Wed Dec 20 21:09:40 GMT 2023","Wed Dec 20 21:09:40 GMT 2023","130","eCommerce","Categories","","","","Create/update a category",""
"failed","Wed Dec 20 21:09:20 GMT 2023","Wed Dec 20 21:09:20 GMT 2023","150","Marketing","Email Campaigns","","","","Send an email campaign immediately, based on campaignId",""
"passed","Wed Dec 20 21:09:32 GMT 2023","Wed Dec 20 21:09:32 GMT 2023","143","Accounts and settings","Senders","","","","Get the list of all your senders",""
"passed","Wed Dec 20 21:09:29 GMT 2023","Wed Dec 20 21:09:29 GMT 2023","129","Accounts and settings","Reseller","Domains","","","Delete the sender domain of the reseller child based on the childIdentifier and domainName passed",""
"passed","Wed Dec 20 21:09:29 GMT 2023","Wed Dec 20 21:09:30 GMT 2023","136","Accounts and settings","Reseller","Child accounts","","","Get a child account's details",""
"passed","Wed Dec 20 21:09:36 GMT 2023","Wed Dec 20 21:09:37 GMT 2023","153","Sales CRM","Tasks","","","","Get a task",""
"failed","Wed Dec 20 21:09:24 GMT 2023","Wed Dec 20 21:09:24 GMT 2023","130","Contact management","Contacts","","","","Export contacts",""
"failed","Wed Dec 20 21:09:17 GMT 2023","Wed Dec 20 21:09:17 GMT 2023","195","Transactional","Logs","","","","Delete hardbounces",""
"passed","Wed Dec 20 21:09:25 GMT 2023","Wed Dec 20 21:09:25 GMT 2023","142","Contact management","Contacts","","","","Get email campaigns' statistics for a contact",""
"failed","Wed Dec 20 21:09:36 GMT 2023","Wed Dec 20 21:09:36 GMT 2023","131","Sales CRM","Tasks","","","","Create a task",""
"failed","Wed Dec 20 21:09:38 GMT 2023","Wed Dec 20 21:09:38 GMT 2023","138","Conversations","Messages","","","","Send a message as an agent",""
"passed","Wed Dec 20 21:09:35 GMT 2023","Wed Dec 20 21:09:35 GMT 2023","304","Sales CRM","Companies","","","","Get pipeline stages",""
"failed","Wed Dec 20 21:09:40 GMT 2023","Wed Dec 20 21:09:40 GMT 2023","154","eCommerce","Orders","","","","Create orders in batch",""
