"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 23 03:47:58 GMT 2023","Sat Dec 23 03:47:58 GMT 2023","174","Contact management","Lists","","","","Get contacts in a list",""
"failed","Sat Dec 23 03:47:52 GMT 2023","Sat Dec 23 03:47:52 GMT 2023","173","Marketing","Email Campaigns","","","","Send the report of a campaign",""
"passed","Sat Dec 23 03:47:59 GMT 2023","Sat Dec 23 03:47:59 GMT 2023","136","Contact management","Attributes","","","","Update contact attribute",""
"passed","Sat Dec 23 03:48:08 GMT 2023","Sat Dec 23 03:48:08 GMT 2023","142","Sales CRM","Deals","","","","Delete a deal",""
"failed","Sat Dec 23 03:47:47 GMT 2023","Sat Dec 23 03:47:48 GMT 2023","218","Transactional","Statistics","","","","Get your transactional email activity aggregated per day",""
"failed","Sat Dec 23 03:47:48 GMT 2023","Sat Dec 23 03:47:48 GMT 2023","201","Transactional","Blocked Contacts","","","","Get the list of blocked or unsubscribed transactional contacts",""
"passed","Sat Dec 23 03:48:05 GMT 2023","Sat Dec 23 03:48:05 GMT 2023","135","Accounts and settings","Senders","","","","Delete a sender",""
"passed","Sat Dec 23 03:47:55 GMT 2023","Sat Dec 23 03:47:55 GMT 2023","156","Marketing","WhatsApp Campaigns","","","","Return all your created WhatsApp templates",""
"failed","Sat Dec 23 03:47:46 GMT 2023","Sat Dec 23 03:47:46 GMT 2023","195","Transactional","Email API","","","","Get the personalized content of a sent transactional email",""
"passed","Sat Dec 23 03:48:13 GMT 2023","Sat Dec 23 03:48:13 GMT 2023","158","eCommerce","Products","","","","Get all products",""
"passed","Sat Dec 23 03:48:11 GMT 2023","Sat Dec 23 03:48:11 GMT 2023","150","Conversations","Messages","","","","Delete a message sent by an agent",""
"failed","Sat Dec 23 03:47:54 GMT 2023","Sat Dec 23 03:47:54 GMT 2023","145","Marketing","SMS Campaigns","","","","Update a campaign's status",""
"failed","Sat Dec 23 03:47:54 GMT 2023","Sat Dec 23 03:47:54 GMT 2023","148","Marketing","SMS Campaigns","","","","Export an SMS campaign's recipients",""
"passed","Sat Dec 23 03:48:04 GMT 2023","Sat Dec 23 03:48:04 GMT 2023","148","Accounts and settings","Corporate","","","","Get sub-account details",""
"passed","Sat Dec 23 03:47:57 GMT 2023","Sat Dec 23 03:47:57 GMT 2023","148","Contact management","Folders","","","","Returns a folder's details",""
"passed","Sat Dec 23 03:47:59 GMT 2023","Sat Dec 23 03:47:59 GMT 2023","137","Contact management","Lists","","","","Delete a list",""
"failed","Sat Dec 23 03:47:53 GMT 2023","Sat Dec 23 03:47:53 GMT 2023","208","Marketing","SMS Campaigns","","","","Update an SMS campaign",""
"passed","Sat Dec 23 03:48:01 GMT 2023","Sat Dec 23 03:48:01 GMT 2023","140","Accounts and settings","Reseller","IP management","","","Dissociate a dedicated IP to the child",""
"failed","Sat Dec 23 03:47:53 GMT 2023","Sat Dec 23 03:47:53 GMT 2023","164","Marketing","SMS Campaigns","","","","Get an SMS campaign",""
"failed","Sat Dec 23 03:47:57 GMT 2023","Sat Dec 23 03:47:57 GMT 2023","166","Contact management","Folders","","","","Get all folders",""
"passed","Sat Dec 23 03:47:57 GMT 2023","Sat Dec 23 03:47:58 GMT 2023","155","Contact management","Lists","","","","Get all the lists",""
"passed","Sat Dec 23 03:48:07 GMT 2023","Sat Dec 23 03:48:07 GMT 2023","140","Sales CRM","Companies","","","","Update a company",""
"passed","Sat Dec 23 03:48:09 GMT 2023","Sat Dec 23 03:48:09 GMT 2023","153","Sales CRM","Tasks","","","","Update a task",""
"passed","Sat Dec 23 03:48:02 GMT 2023","Sat Dec 23 03:48:02 GMT 2023","153","Accounts and settings","Reseller","Child accounts","","","Get session token to access Sendinblue (SSO)",""
"passed","Sat Dec 23 03:48:02 GMT 2023","Sat Dec 23 03:48:02 GMT 2023","164","Accounts and settings","Reseller","Child accounts","","","Update info of reseller's child account status based on the identifier supplied",""
"passed","Sat Dec 23 03:48:13 GMT 2023","Sat Dec 23 03:48:13 GMT 2023","152","eCommerce","Categories","","","","Create categories in batch",""
"passed","Sat Dec 23 03:48:13 GMT 2023","Sat Dec 23 03:48:13 GMT 2023","154","eCommerce","Products","","","","Get a product's details",""
"passed","Sat Dec 23 03:47:56 GMT 2023","Sat Dec 23 03:47:56 GMT 2023","140","Contact management","Contacts","","","","Update a contact",""
"failed","Sat Dec 23 03:47:57 GMT 2023","Sat Dec 23 03:47:57 GMT 2023","142","Contact management","Folders","","","","Update a folder",""
"passed","Sat Dec 23 03:47:58 GMT 2023","Sat Dec 23 03:47:58 GMT 2023","196","Contact management","Lists","","","","Get a list's details",""
"passed","Sat Dec 23 03:47:56 GMT 2023","Sat Dec 23 03:47:56 GMT 2023","174","Contact management","Contacts","","","","Get a contact's details",""
"passed","Sat Dec 23 03:47:54 GMT 2023","Sat Dec 23 03:47:54 GMT 2023","146","Marketing","WhatsApp Campaigns","","","","Get a WhatsApp campaign",""
"failed","Sat Dec 23 03:47:46 GMT 2023","Sat Dec 23 03:47:46 GMT 2023","177","Transactional","Email API","","","","Delete scheduled emails by batchId or messageId",""
"failed","Sat Dec 23 03:47:48 GMT 2023","Sat Dec 23 03:47:48 GMT 2023","183","Transactional","Blocked Domains","","","","Get the list of blocked domains",""
"failed","Sat Dec 23 03:47:49 GMT 2023","Sat Dec 23 03:47:49 GMT 2023","168","Transactional","Inbound Email Parsing","","","","Get the list of all the events for the received emails.",""
"passed","Sat Dec 23 03:47:47 GMT 2023","Sat Dec 23 03:47:47 GMT 2023","148","Transactional","Templates","","","","Send a template to your test list",""
"passed","Sat Dec 23 03:48:02 GMT 2023","Sat Dec 23 03:48:02 GMT 2023","154","Accounts and settings","Reseller","Child accounts","","","Delete a single reseller child based on the child identifier supplied",""
"passed","Sat Dec 23 03:48:06 GMT 2023","Sat Dec 23 03:48:06 GMT 2023","158","Sales CRM","Companies","","","","Get company attributes",""
"failed","Sat Dec 23 03:48:14 GMT 2023","Sat Dec 23 03:48:14 GMT 2023","149","eCommerce","","","","","Activate eCommerce platform on your account",""
"passed","Sat Dec 23 03:48:05 GMT 2023","Sat Dec 23 03:48:05 GMT 2023","140","Accounts and settings","Senders","","","","Update a sender",""
"failed","Sat Dec 23 03:48:00 GMT 2023","Sat Dec 23 03:48:00 GMT 2023","154","Accounts and settings","Reseller","Credits","","","Add Email and/or SMS credits to a specific child account",""
"passed","Sat Dec 23 03:47:49 GMT 2023","Sat Dec 23 03:47:49 GMT 2023","147","Transactional","Blocked Domains","","","","Unblock an existing domain from the list of blocked domains",""
"passed","Sat Dec 23 03:47:52 GMT 2023","Sat Dec 23 03:47:53 GMT 2023","179","Marketing","Email Campaigns","","","","Return all your created email campaigns",""
"passed","Sat Dec 23 03:47:47 GMT 2023","Sat Dec 23 03:47:47 GMT 2023","174","Transactional","Templates","","","","Returns the template information",""
"passed","Sat Dec 23 03:48:04 GMT 2023","Sat Dec 23 03:48:04 GMT 2023","160","Accounts and settings","Corporate","","","","Generate SSO token to access Sendinblue",""
"failed","Sat Dec 23 03:47:49 GMT 2023","Sat Dec 23 03:47:49 GMT 2023","162","Transactional","Logs","","","","Delete hardbounces",""
"failed","Sat Dec 23 03:48:06 GMT 2023","Sat Dec 23 03:48:06 GMT 2023","140","Sales CRM","Companies","","","","Create a company",""
"passed","Sat Dec 23 03:48:03 GMT 2023","Sat Dec 23 03:48:03 GMT 2023","150","Accounts and settings","Corporate","","","","Get the details of requested master account",""
"failed","Sat Dec 23 03:48:12 GMT 2023","Sat Dec 23 03:48:12 GMT 2023","160","eCommerce","Orders","","","","Create orders in batch",""
